date,region,product,feedback_text
2026-07-06,East,Product A,I had to return the product because it was defective.
2026-07-29,East,Product D,The product quality was good but delivery was delayed.
2026-07-29,West,Product A,Delivery was late and arrived after the promised date.
2026-07-08,South,Product A,Delivery was late and arrived after the promised date.
2026-08-14,South,Product B,Checkout was easy and the product arrived quickly.
2026-08-20,South,Product B,I had to return the product because it was defective.
2026-07-02,South,Product C,The price felt expensive compared with alternatives.
2026-08-15,West,Product B,Delivery was fast and the product was excellent.
2026-07-13,North,Product D,Product A was unavailable when I tried to order.
2026-07-19,East,Product B,Delivery was fast and the product was excellent.
2026-07-14,East,Product A,The product quality was good but delivery was delayed.
2026-07-10,East,Product A,The product arrived damaged and I requested a return.
2026-07-18,East,Product D,Delivery was fast and the product was excellent.
2026-07-01,West,Product D,The product arrived damaged and I requested a return.
2026-07-10,East,Product C,The product arrived damaged and I requested a return.
2026-07-23,East,Product C,Checkout was easy and the product arrived quickly.
2026-08-10,East,Product B,The product arrived damaged and I requested a return.
2026-08-09,South,Product C,Delivery was late and arrived after the promised date.
2026-07-21,East,Product D,The product arrived damaged and I requested a return.
2026-08-04,South,Product C,The item was out of stock again.
2026-07-03,North,Product C,I had to return the product because it was defective.
2026-07-26,West,Product D,The price felt expensive compared with alternatives.
2026-08-11,South,Product B,The website checkout process was difficult.
2026-08-03,East,Product B,I had to return the product because it was defective.
2026-07-04,North,Product B,Product A was unavailable when I tried to order.
2026-07-18,East,Product B,The product quality was good but delivery was delayed.
2026-07-15,East,Product D,The website checkout process was difficult.
2026-07-29,North,Product A,Checkout was easy and the product arrived quickly.
2026-07-13,East,Product B,Delivery was fast and the product was excellent.
2026-07-14,South,Product C,The product quality was good but delivery was delayed.
2026-08-09,East,Product C,Checkout was easy and the product arrived quickly.
2026-08-18,West,Product A,The price felt expensive compared with alternatives.
2026-08-16,South,Product C,The website checkout process was difficult.
2026-07-15,East,Product C,Delivery was late and arrived after the promised date.
2026-07-10,East,Product A,I had to return the product because it was defective.
2026-07-28,East,Product B,The product quality was good but delivery was delayed.
2026-07-26,East,Product B,The product quality was good but delivery was delayed.
2026-07-08,East,Product C,The price felt expensive compared with alternatives.
2026-07-14,North,Product B,The item was out of stock again.
2026-07-11,West,Product B,The product quality was good but delivery was delayed.
